Neighborhood,Status,Summary,Address,Created at Local,Acknowledged at Local,Closed at Local,Time
PH,Archived,P-WORKS: Cut Right-Of-Way,"396 Lincoln Ave Macon, GA, 31201, USA",02/21/2020  10:30 AM,02/24/2020  07:27 AM,02/25/2020  05:24 PM,4.2875
PH,Open,BEAUTIFICATION: Street Sweep,"388 Lincoln Ave Macon GA 31201, United States",01/03/2021  12:44 PM, , ,#VALUE!
PH,Acknowledged,S-WASTE: Illegal dumping,"323 Lincoln Ave Macon, GA 31201, USA",01/22/2021  12:44 PM,01/27/2021  10:39 AM, ,#VALUE!
PH,Acknowledged,S-WASTE: Illegal dumping,"395 Lincoln Ave Macon, GA 31201, USA",01/22/2021  01:06 PM,01/25/2021  09:07 AM, ,#VALUE!
PH,Acknowledged,S-WASTE: Illegal dumping,"396 Lincoln Ave Macon, GA 31201, USA",01/22/2021  01:07 PM,01/25/2021  09:07 AM, ,#VALUE!
PH,Acknowledged,Code Enforcement: Burned House,"320 Lincoln Ave Macon, GA 31201, USA",01/31/2021  03:54 PM,02/08/2021  07:59 AM, ,#VALUE!
PH,Archived,Public Works: Alley - needs cleaning,"1900–1998 Sherman Ave Macon GA 31201, United States",02/17/2021  07:26 PM,02/18/2021  07:24 AM,02/18/2021  08:33 AM,0.546527778
U,Open,TRAFFIC ENG: Signal Timing,"Pio Nono Ave & Mercer University Dr Macon, GA, 31204, USA",01/02/2020  08:32 PM, , ,#VALUE!
U,Archived,S-WASTE: Debris | Limbs | Yard Clippings | Bulky Waste,"368 Grosso Ave Macon, GA, 31204, USA",01/06/2020  08:18 PM,01/08/2020  09:30 PM,01/24/2020  03:36 PM,17.80416667
U,Archived,P-WORKS: Pot hole,"Pio Nono Ave & Anthony Rd Macon, GA, 31206, USA",01/07/2020  04:48 PM,01/07/2020  04:48 PM,01/16/2020  05:23 PM,9.024305556
U,Archived,S-WASTE: Illegal dumping,"348 Hortman Ave Macon, GA, 31204, USA",01/08/2020  12:32 PM,01/27/2020  02:06 PM,01/29/2020  05:17 PM,21.19791667
U,Archived,S-WASTE: Debris | Limbs | Yard Clippings | Bulky Waste,"368 Grosso Ave Macon, GA, 31204, USA",01/21/2020  06:49 AM,01/23/2020  12:29 PM,01/23/2020  12:30 PM,2.236805556
U,Archived,P-WORKS: Streets,"2516–2552 Mercer University Dr Macon 31204, United States",01/25/2020  08:55 AM,01/27/2020  07:15 AM,02/12/2020  07:45 AM,17.95138889
U,Archived,P-WORKS: Litter,"Anthony Rd Macon, GA, 31206, USA",01/27/2020  03:12 PM,01/27/2020  03:12 PM,01/27/2020  03:13 PM,0.000694444
U,Archived,PROPERTY MAINT - Vacant\Abandoned\Dilapidated,"715 Pansy Ave Macon, GA 31204, USA",01/27/2020  06:18 PM,06/03/2020  03:06 PM,06/25/2020  10:56 AM,149.6930556
U,Archived,P-WORKS: Litter,"Blossom Ave Macon, GA, 31204, USA",01/28/2020  08:16 AM,01/28/2020  08:16 AM,01/28/2020  08:16 AM,0
U,Archived,P-WORKS: Litter,"Pansy Ave Macon, GA, 31204, USA",01/28/2020  08:18 AM,01/28/2020  08:18 AM,01/28/2020  08:18 AM,0
U,Archived,P-WORKS: Pot hole,"345 May Ave Macon, GA, 31204, USA",02/03/2020  03:55 PM,02/04/2020  07:43 AM,02/04/2020  11:21 AM,0.809722222
U,Archived,Animal Welfare: Care and Control,"420 Poppy Ave Macon, GA 31204, USA",02/06/2020  10:17 AM,02/06/2020  10:34 AM,11/09/2020  03:59 PM,277.2375
U,Archived,P-WORKS: Litter,"Key St Macon, GA, 31204, USA",02/18/2020  09:37 AM,02/18/2020  09:37 AM,02/18/2020  09:38 AM,0.000694444
U,Archived,P-WORKS: Street/Asphalt,"2001-2045 Pio Nono Ave Macon, GA, 31206, USA",02/18/2020  04:14 PM,06/17/2020  10:44 AM,06/22/2020  02:58 PM,124.9472222
U,Archived,S-WASTE: Illegal dumping,"Key St Macon, GA, 31204, USA",02/24/2020  12:49 PM,02/24/2020  04:56 PM,03/03/2020  04:50 PM,8.167361111
U,Archived,ADS: Garbage Cart Replacement,"3145 Mercer University Dr Macon, GA, 31204, USA",03/05/2020  12:36 PM,03/05/2020  02:01 PM,04/13/2020  12:32 PM,38.99722222
U,Archived,P-WORKS: Pot hole,"666 Patton Ave Macon, GA, 31204, USA",03/11/2020  10:44 AM,03/11/2020  10:44 AM,03/16/2020  05:23 PM,5.277083333
U,Archived,P-WORKS: Litter,"3075–3099 Mercer University Dr Macon 31204, United States",03/16/2020  02:32 PM,03/16/2020  03:51 PM,03/19/2020  12:38 PM,2.920833333
U,Archived,P-WORKS: Right-of-Way,"478 Daffodil St Macon, GA, 31204, USA",03/17/2020  10:30 PM,03/18/2020  06:46 AM,03/18/2020  05:11 PM,0.778472222
U,Archived,ADS: Garbage Cart Replacement,"1480 May Ave Macon, GA, 31204, USA",03/18/2020  03:49 PM,03/23/2020  04:06 PM,04/13/2020  12:57 PM,25.88055556
U,Archived,S-WASTE: Illegal dumping,"1480 May Ave Macon, GA, 31204, USA",03/25/2020  03:13 PM, ,07/09/2020  12:05 PM,105.8694444
U,Archived,P-WORKS: Street/Asphalt,"688 Key St Macon, GA, 31204, USA",04/06/2020  11:07 AM,04/06/2020  11:27 AM,04/06/2020  02:54 PM,0.157638889
U,Archived,P-WORKS: Cut Right-Of-Way,"May Ave Macon, GA, 31204, USA",04/07/2020  02:21 PM,04/07/2020  02:31 PM,04/09/2020  04:24 PM,2.085416667
U,Archived,P-WORKS: Cut Right-Of-Way,"259 Daffodil St Macon, GA, 31204, USA",04/08/2020  03:40 PM,04/08/2020  03:40 PM,04/08/2020  03:43 PM,0.002083333
U,Archived,P-WORKS: Litter,"May Ave Macon, GA, 31204, USA",04/09/2020  03:48 PM,04/09/2020  03:49 PM,04/16/2020  04:53 PM,7.045138889
U,Archived,ADS: Garbage Cart,"192 Straight St Macon, GA, 31204, USA",04/15/2020  01:14 PM,04/27/2020  03:46 PM,05/04/2020  11:07 AM,18.91180556
U,Archived,ADS: Garbage Missed Pick-up,"321 Poppy Ave Macon, GA, 31204, USA",04/20/2020  09:28 AM,04/20/2020  10:47 AM,04/22/2020  06:51 AM,1.890972222
